universityName,cityName,countryName
Hubei University of Medicine,Shiyan,China
Universidad San Francisco de Quito,Quito,Ecuador
The University of British Columbia,Vancouver,Canada
Hiroshima University Graduate School of Biomedical and Health Sciences,Hiroshima,Japan
Karolinska Institutet,Stockholm,Sweden
Noakhali Science and Technology University,Noakhali,Bangladesh
University of Jinan,Jinan,China
University of Toronto Joint Centre for Bioethics,Toronto,Canada
Universitätsklinikum Freiburg,Freiburg im Breisgau,Germany
Universitat Autònoma de Barcelona,Cerdanyola del Valles,Spain
Texas Children's Hospital,Houston,United States
The University of Sydney School of Medicine,Sydney,Australia
Ahvaz Jundishapur University of Medical Sciences,Ahvaz,Iran
"Beijing Anzhen Hospital, Capital Medical University",Beijing,China
University of Calgary,Calgary,Canada
North-West University,Potchefstroom,South Africa
Korea University Anam Hospital,Seoul,South Korea
Tehran University of Medical Sciences,Tehran,Iran
Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
Guangzhou Medical University,Guangzhou,China
Faculty of Medicine,Cairo,Egypt
Charles University,Prague,Czech Republic
China Medical University Shenyang,Shenyang,China
King Abdulaziz Medical City - Riyadh,Riyadh,Saudi Arabia
Ilam University of Medical Sciences,Ilam,Iran
University of Liverpool,Liverpool,United Kingdom
The First Hospital of Hunan University of Chinese Medicine,Changsha,China
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
University of Reading,Reading,United Kingdom
An-Najah National University,Nablus,Palestine
Imperial College London,London,United Kingdom
Ottawa Hospital Research Institute,Ottawa,Canada
Tampere University,Tampere,Finland
Universidade Federal de Santa Catarina,Florianopolis,Brazil
Central South University,Changsha,China
Zhejiang Shuren University,Hangzhou,China
University of the Philippines Manila,Manila,Philippines
Università degli Studi Roma Tre,Rome,Italy
Faculty of Medicine,Cairo,Egypt
Kartal Dr. Lütfi Kırdar City Hospital,Kartal/Istanbul,Turkey
Université du Québec à Rimouski,Rimouski,Canada
Chengdu Medical College,Chengdu,China
Shanghai Sixth People's Hospital,Shanghai,China
Warwick Medical School,Coventry,United Kingdom
Tsinghua University,Beijing,China
"Zagazig University, Faculty of Medicine",Zagazig,Egypt
Faculty of Nursing and Midwifery,Tabriz,Iran
Massachusetts General Hospital,Boston,United States
Helsinki University Hospital,Helsinki,Finland
Ltd.,Shanghai,China
Johns Hopkins University,Baltimore,United States
Centro Nacional de Supercomputación,Barcelona,Spain
China-Japan Union Hospital of Jilin University,Changchun,China
School of Medicine and Public Health,Callaghan,Australia
Nanjing Medical University,Nanjing,China
Yonsei University College of Medicine,Seoul,South Korea
Utrecht University of Applied Sciences,Utrecht,Netherlands
University of Connecticut,Storrs,United States
UiT Norges Arktiske Universitet,Tromso,Norway
Mazandaran University of Medical Sciences,Sari,Iran
Weifang People's Hospital,Weifang,China
Chinese Academy of Medical Sciences &amp; Peking Union Medical College,Beijing,China
The Hospital for Sick Children,Toronto,Canada
"Indian Institute of Integrative Medicine, Srinagar",Srinagar,India
Sirjan University of Medical Sciences,Sirjan,Iran
Hospital of Divino Espírito Santo of Ponta Delgada,São Miguel island,Portugal
"Postgraduate Institute of Medical Education &amp; Research, Chandigarh",Chandigarh,India
University of Science and Technology (UST),Daejeon,South Korea
Politecnico di Milano,Milan,Italy
Hubei Agricultural Bioinformatics Key Laboratory,Wuhan,China
Midwifery and Reproductive Health Research Center,Tehran,Iran
Oslo Universitetssykehus,Oslo,Norway
"The First Affiliated Hospital, Sun Yat-sen University",Guangzhou,China
Western University,London,Canada
Baqiyatallah University of Medical Sciences,Tehran,Iran
Universitat de València,Valencia,Spain
Nanfang Hospital,Guangzhou,China
Peking University Third Hospital,Beijing,China
Universität Graz,Graz,Austria
College of Health Sciences,Addis Ababa,Ethiopia
University of Khartoum Faculty of Medicine,Khartoum,Sudan
Jiangsu Province Hospital of TCM,Nanjing,China
Facoltà di Medicina e Odontoiatria,Rome,Italy
Kyung Hee Medical Center,Seoul,South Korea
Kunming Medical University,Kunming,China
Qilu Hospital of Shandong University,Jinan,China
Tongji University School of Medicine,Shanghai,China
"The Faculty of Medicine, Health and Human Sciences",Macquarie Park,Australia
University of South China,Hengyang,China
Fudan University,Shanghai,China
Universitätsklinikum Heidelberg,Heidelberg,Germany
"Shanghai Ninth People's Hospital, Shanghai JiaoTong University School of Medicine",Shanghai,China
Aix Marseille Université,Marseille,France
IRCCS Ospedale Pediatrico Bambino Gesù,Rome,Italy
Graduate School of Medicine,Suita,Japan
Peking Union Medical College Hospital,Beijing,China
University of Toronto Faculty of Medicine,Toronto,Canada
The University of Electro-Communications,Chofu,Japan
SPECTRUM Consortium,Edinburgh,United Kingdom
Hangzhou First People's Hospital,Hangzhou,China
Faculty of Science,Fayoum,Egypt
Asan Medical Center,Seoul,South Korea
Indiana University School of Informatics and Computing,Indianapolis,United States
Queensland University of Technology,Brisbane,Australia
University of Gondar,Gondar,Ethiopia
Guangzhou Medical University,Guangzhou,China
Holy Spirit University of Kaslik (USEK),Jounieh,Lebanon
Chulalongkorn University,Bangkok,Thailand
Massachusetts General Hospital,Boston,United States
Hebei Medical University,Shijiazhuang,China
"University of California, Los Angeles",Los Angeles,United States
Dalian Medical University,Dalian,China
Hebei Yanda Hospital,"Sanhe City, Langfang City",China
Renji Hospital,Shanghai,China
Washington University School of Medicine in St. Louis,St. Louis,United States
Shandong University,Jinan,China
Yale School of Medicine,New Haven,United States
"Alborz University of Medical Sciences, Non-communicable Diseases Research Center",Azimiyeh,Iran
Southern Tohoku General Hospital,Koriyama,Japan
Central South University,Changsha,China
"Middle East University, Jordan",Amman,Jordan
York University,Toronto,Canada
"Islamic Azad University, Kazerun Branch",Kazerun,Iran
"Faculty of Medicine, YARSI University",Central Jakarta,Indonesia
"Faculty of Tropical Medicine, Mahidol University",Bangkok,Thailand
Peter Maccallum Cancer Centre,Melbourne,Australia
Zhejiang Chinese Medical University,Hangzhou,China
National Cheng Kung University College of Medicine,Tainan,Taiwan
"AMP, Inc.",Harrisburg,United States
King Abdullah University of Science and Technology,Thuwal,Saudi Arabia
Cleveland Clinic Foundation,Cleveland,United States
Azienda Ospedaliera - Universitaria Città della Salute e della Scienza di Torino,Turin,Italy
Alfried Krupp Krankenhaus,Essen,Germany
Erasmus MC,Rotterdam,Netherlands
University of Gondar,Gondar,Ethiopia
Universitätsmedizin Göttingen,Gottingen,Germany
Universitatea de Medicina si Farmacie Victor Babes din Timisoara,Timisoara,Romania
Institut Supérieur du Sport et de l'Education Physique de Sfax,Sfax,Tunisia
British Columbia Cancer Agency,Vancouver,Canada
Ospedale Sandro Pertini,Rome,Italy
Open Health Imaging Foundation,Boston,United States
Debre Markos University,Debra Marcos,Ethiopia
General Hospital of People's Liberation Army,Beijing,China
Durban University of Technology,Durban,South Africa
School of Public Health (IUMS),Tehran,Iran
Università degli Studi di Napoli Federico II,Naples,Italy
"A-Star, Singapore Institute for Clinical Sciences",Singapore City,Singapore
"Fuwai Hospital, Chinese Academy of Medical Sciences &amp; Peking Union Medical College",Beijing,China
Jiangxi Maternal and Child Health Hospital,Nanchang,China
Nanjing University,Nanjing,China
Yangzhou University,Yangzhou,China
Queensland University of Technology,Brisbane,Australia
Mahasarakham University,Maha Sarakham,Thailand
Guangdong Medical University,Zhanjiang,China
College of Nursing,Seoul,South Korea
Wollo University,Dessie,Ethiopia
Centre Hospitalier Universitaire Ibn Rochd,Casablanca,Morocco
"Plymouth University, Peninsula Schools of Medicine and Dentistry",Plymouth,United Kingdom
Western University,London,Canada
Klinička bolnica Dubrava,Zagreb,Croatia
Tabbin,Cairo,Egypt
University of Johannesburg,Johannesburg,South Africa
Uppsala Universitet,Uppsala,Sweden
Peking University Hospital of Stomatology,Beijing,China
Mohammed VI University of Sciences and Health - UM6SS,Casablanca,Morocco
Euracare Multispecialty Hospital,Victoria Island,Nigeria
"West China Fourth Hospital, Sichuan University",Chengdu,China
Urmia University,Urmia,Iran
Shanghai Institute of Applied Technology,Shanghai,China
Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
Università degli Studi di Torino,Turin,Italy
Universidade Federal do Rio de Janeiro,Rio de Janeiro,Brazil
Maternal-Fetal Medicine Research Center,Shiraz,Iran
Urmia University of Medical Sciences,Urmia,Iran
Guangdong Ocean University,Zhanjiang,China
University of South Australia,Adelaide,Australia
King Saud bin Abdulaziz University for Health Sciences,Riyadh,Saudi Arabia
James Cook University,Townsville,Australia
University of Rwanda,Butare,Rwanda
Fudan University Shanghai Cancer Center,Shanghai,China
Chinese Academy of Medical Sciences &amp; Peking Union Medical College,Beijing,China
London School of Hygiene &amp; Tropical Medicine,London,United Kingdom
Alma Mater Studiorum Università di Bologna,Bologna,Italy
Bristol Medical School,Bristol,United Kingdom
University of South Carolina,Columbia,United States
Universidade Estadual de Campinas,Campinas,Brazil
The First Affiliated Hospital of Wenzhou Medical University,Wenzhou,China
CQUniversity Australia,Rockhampton,Australia
Szegedi Tudományegyetem (SZTE),Szeged,Hungary
Anhui University,Hefei,China
OsloMet – StorbyUniversitetet,Oslo,Norway
Nanjing University of Traditional Chinese Medicine,Nanjing,China
Oak Ridge Institute for Science and Education,Oak Ridge,United States
University of Miami Leonard M. Miller School of Medicine,Miami,United States
Nippon Medical School Hospital,Tokyo,Japan
Mahidol University,Nakhon Pathom,Thailand
VA Connecticut Healthcare System,West Haven,United States
China Medical University Shenyang,Shenyang,China
Université de Lorraine,Nancy,France
Faculty of Medicine,Suez,Egypt
University of Buea,Buea,Cameroon
Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
Nanjing Medical University,Nanjing,China
Wuhu Hospital of Traditional Chinese Medicine,Wuhu,China
Wollo University,Dessie,Ethiopia
John and Marcia Price College of Engineering,Salt Lake City,United States
Fraunhofer-Institut für Verfahrenstechnik und Verpackung,Freising,Germany
"Universiti Sains Malaysia, Health Campus",Kubang Kerian,Malaysia
Hubei University of Science and Technology,Xianning,China
North Bristol NHS Trust,Bristol,United Kingdom
University of Dschang,Dschang,Cameroon
The University of Sydney School of Medicine,Sydney,Australia
Israel Institute for Biological Research,Nes Ziona,Israel
The Second Hospital of Xian Jiaotong University,Xi'an,China
Seoul National University Bundang Hospital,Seongnam,South Korea
Jiulongpo People's Hospital,Chongqing,China
Xinjiang Medical University,Urumqi,China
Weifang Hospital of Traditional Chinese Medicine,Weifang,China
"University of California, Davis",Davis,United States
School of Medicine,Montreal,Canada
Sun Yat-Sen University Cancer Center,Guangzhou,China
National Cancer Center Hospital,Tokyo,Japan
Ltd,Shanghai,China
Tongji Hospital of Tongji Medical College of Huazhong University of Science and Technology,Wuhan,China
Itä-Suomen yliopisto,Kuopio,Finland
Luzhou Medical College,Luzhou,China
İstanbul Medipol Üniversitesi,Istanbul,Turkey
Guangzhou University of Chinese Medicine,Guangzhou,China
Aalborg Universitetshospital,Aalborg,Denmark
Boston Children's Hospital,Boston,United States
Heersink School of Medicine,Birmingham,United States
Faculty of Pharmacy and Biotechnology,New Cairo,Egypt
University of Nicosia,Nicosia,Cyprus
Renji Hospital,Shanghai,China
Faculty of Medicine,Saga,Japan
Riga Technical University,Riga,Latvia
John Peter Smith Hospital Fort Worth,Fort Worth,United States
Institute of Mental Health and Neurosciences,"Kozhikode, Kerala",India
University of Miami,Coral Gables,United States
Hindu Rao Hospital,New Delhi,India
Mae Fah Luang University,Chiang Rai,Thailand
Acibadem Mehmet Ali Aydinlar Universitesi,Istanbul,Turkey
Universitätsklinikum Erlangen,Erlangen,Germany
Kunming Medical University,Kunming,China
People's Hospital of Zhengzhou,Zhengzhou,China
The University of British Columbia,Vancouver,Canada
University of Tasmania,Hobart,Australia
"The Catholic University of Korea, St. Vincent's Hospital",Suwon,South Korea
Air Force Medical University,Xi'an,China
Instituto Superior Técnico,Lisbon,Portugal
"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Sao Paulo,Brazil
Khartoum University,Khartoum,Sudan
Medizinischen Fakultät,Essen,Germany
Dambi Dollo University,Dambi Dollo,Ethiopia
"All India Institute of Medical Sciences, New Delhi",New Delhi,India
Fudan University,Shanghai,China
Azienda Ospedaliera Universitaria Policlinico Paolo Giaccone,Palermo,Italy
Zuyderland,Sittard-Geleen,Netherlands
University of Nottingham Medical School,Nottingham,United Kingdom
Anhui Medical University,Hefei,China
Hospital Universitario Pedro Ernesto,Rio de Janeiro,Brazil
Université Ibn Tofail,Kenitra,Morocco
Universiteit Utrecht,Utrecht,Netherlands
Chang Gung Memorial Hospital,Taipei,Taiwan
Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
Guangdong Province Hospital for Occupational Disease Prevention and Treatment,Guangzhou,China
Kalasalingam Academy of Research and Education,Krishnankoil,India
Huazhong Agricultural University,Wuhan,China
Xinjiang Medical University,Urumqi,China
King Khalid University,Abha,Saudi Arabia
Wuhan University of Science and Technology,Wuhan,China
Universitätsklinikum Würzburg,Wurzburg,Germany
Chengdu University of Traditional Chinese Medicine,Chengdu,China
Government College University Lahore,Lahore,Pakistan
Boston University Chobanian &amp; Avedisian School of Medicine,Boston,United States
OLVG,Amsterdam,Netherlands
Aichi Children's Health and Medical Center,Obu,Japan
Stomatological Hospital of Guangzhou Medical University,Guangzhou,China
Herbert Wertheim College of Engineering,Gainesville,United States
İstanbul Tıp Fakültesi,Istanbul,Turkey
New Giza University,Giza,Egypt
Kailuan General Hospital,Tangshan,China
National Institutes for Food and Drug Control,Beijing,China
Nanjing Medical University,Nanjing,China
The University of Adelaide,Adelaide,Australia
Medical School of Nanjing University,Nanjing,China
Rocky Vista University College of Osteopathic Medicine,Englewood,United States
Organisation Mondiale de la Santé,Geneva,Switzerland
Xidian University,Xi'an,China
Tabriz University of Medical Sciences,Tabriz,Iran
Sokoine University of Agriculture,Morogoro,Tanzania
IRMES-Institut de Recherche Médicale et d'Épidémiologie du Sport,Paris,France
Tehran University of Medical Sciences,Tehran,Iran
St. Francis Hospital - The Heart Center,New York,United States
Zunyi Medical University,Zunyi,China
Shahid Beheshti University of Medical Sciences,Tehran,Iran
Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Rome,Italy
General Hospital of Southern Theater Command,Guangzhou,China
Universität Siegen,Siegen,Germany
Qilu Hospital of Shandong University,Jinan,China
Saitama Medical University Faculty of Medicine,Moroyama,Japan
ChaoZhou Central Hospital,Chaozhou,China
Graduate School of Medicine,Sendai,Japan
Shahroud University of Medical Sciences,Shahrood,Iran
"West Pomeranian University of Technology, Szczecin",Szczecin,Poland
Arak University of Medical Sciences,Arak,Iran
Children’s Hospital of Fudan University,Shanghai,China
Mbarara University of Science and Technology,Mbarara,Uganda
Bundeswehr Hospital Hamburg,Hamburg,Germany
"Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences &amp; Peking Union Medical College",Beijing,China
Shanghai Jiao Tong University School of Medicine,Shanghai,China
Mazandaran University of Medical Sciences,Sari,Iran
COPD and Respiratory Allergy,Rotterdam,Netherlands
Turun yliopisto,Turku,Finland
Harvard Medical School,Boston,United States
"Faculdade de Medicina, Universidade de Lisboa",Lisbon,Portugal
Thayer School of Engineering at Dartmouth,Hanover,United States
Faculty of Pharmacy,Tanta,Egypt
Universidade Federal do Espírito Santo,Vitoria,Brazil
Szkola Glówna Gospodarstwa Wiejskiego w Warszawie,Warsaw,Poland
Hubei University of Arts and Science,Xiangyang,China
Rheinisch-Westfälische Technische Hochschule Aachen,Aachen,Germany
Université Hassan 1er,Settat,Morocco
School of Basic Medical Sciences,Xi'an,China
KU Leuven– University Hospital Leuven,Leuven,Belgium
Universidad Ricardo Palma,Lima,Peru
People's Hospital of Xinjiang Uygur Autonomous Region,Urumqi,China
Universitätsklinikum Düsseldorf,Dusseldorf,Germany
University of Dundee,Dundee,United Kingdom
"Institute of Botany, Chinese Academy of Sciences",Beijing,China
The Fifth People’s Hospital of Hainan Province,Haikou,China
Nanjing Medical University,Nanjing,China
Tianjin University,Tianjin,China
Nanyang Hospital of Traditional Chinese Medicine,Nanyang,China
Basaveshwara Medical College &amp; Hospital,Chitradurga,India
Giresun Üniversitesi,Giresun,Turkey
Hunan University of Chinese Medicine,Changsha,China
Hubei University for Nationalities,Enshi,China
London School of Hygiene &amp; Tropical Medicine,London,United Kingdom
Karlsruher Institut für Technologie,Karlsruhe,Germany
Ruian People's Hospital,Ruian,China
Chinese Academy of Medical Sciences &amp; Peking Union Medical College,Beijing,China
Aja University of Medical Sciences,Tehran,Iran
Mekelle University,Makale,Ethiopia
University of Oxford Medical Sciences Division,Oxford,United Kingdom
People's Hospital of Fengjie County,Chongqing,China
Guangzhou University of Chinese Medicine,Guangzhou,China
APSY-V,Nîmes Cedex 1,France
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
Xinjiang Medical University,Urumqi,China
Zhejiang Chinese Medical University,Hangzhou,China
Tarbiat Modares University,Tehran,Iran
Beihua University,Jilin,China
Universität Augsburg,Augsburg,Germany
Cumming School of Medicine,Calgary,Canada
Folkehelseinstituttet,Oslo,Norway
National Institute on Aging (NIA),Bethesda,United States
UCSF School of Medicine,San Francisco,United States
University of Cape Coast Ghana,Cape Coast,Ghana
Universidad Autónoma de Coahuila,Coahuila,Mexico
Sanseikai Kitano Hospital,Sapporo,Japan
Hawassa University,Awassa,Ethiopia
Otago Medical School,Dunedin,New Zealand
Beihua University,Jilin,China
Daneshgahe Elm va Sanat e Iran,Tehran,Iran
Oslo Universitetssykehus,Oslo,Norway
Institut Pasteur de Madagascar,Antananarivo,Madagascar
Chongqing Medical University,Chongqing,China
"Samsung Medical Center, Sungkyunkwan university",Seoul,South Korea
Zhongnan Hospital of Wuhan University,Wuhan,China
Medical School of Nanjing University,Nanjing,China
Yazd University,Yazd,Iran
The First Affiliated Hospital of Guangxi Medical University,Nanning,China
Jiangsu Province Hospital,Nanjing,China
Ludwik Hirszfeld Institute of Immunology and Experimental Therapy of the Polish Academy of Sciences,Wroclaw,Poland
Ahvaz Jundishapur University of Medical Sciences,Ahvaz,Iran
Tianjin Medical University,Tianjin,China
The 3rd Xiangya Hospital,Changsha,China
Razi Hospital (GUMS),Rasht,Iran
Central South University,Changsha,China
The Aga Khan University Medical College,Karachi,Pakistan
National Center for Nanoscience and Technology Beijing,Beijing,China
Children's Hospital of Soochow University,Suzhou,China
"Physiology Research Center, Institute of Neuropharmacology, Kerman University of Medical Sciences",Kerman,Iran
Universiteit Gent,Ghent,Belgium
Washington University School of Medicine in St. Louis,St. Louis,United States
Central South University,Changsha,China
The First Affiliated Hospital of Soochow University,Suzhou,China
UiT Norges Arktiske Universitet,Tromso,Norway
University of Dundee School of Medicine,Dundee,United Kingdom
Heinrich-Heine-Universität Düsseldorf,Dusseldorf,Germany
Quadram Institute Bioscience,Norwich,United Kingdom
University College London Hospitals NHS Foundation Trust,London,United Kingdom
Universiti Teknologi MARA,Shah Alam,Malaysia
University of Alberta,Edmonton,Canada
Universitätsklinikum Hamburg-Eppendorf,Hamburg,Germany
Hainan Medical University,Haikou,China
Cedars-Sinai Medical Center,Los Angeles,United States
International Institute for Population Sciences,Mumbai,India
College of Medicine,Charleston,United States
National and Kapodistrian University of Athens,Athens,Greece
Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Institut Sukan Negara Malaysia,Kuala Lumpur,Malaysia
Zhejiang University School of Medicine,Hangzhou,China
Longhua Hospital Shanghai University of Traditional Chinese Medicine,Shanghai,China
The Aga Khan University,Karachi,Pakistan
Waseda University,Tokyo,Japan
Faculteit der Managementwetenschappen,Nijmegen,Netherlands
Naval Medical University,Shanghai,China
Shanxi Medical University,Taiyuan,China
Norges Teknisk-Naturvitenskapelige Universitet,Trondheim,Norway
Qiqihar Medical College,Qiqihar,China
University of Oxford,Oxford,United Kingdom
School of Public Health,Tehran,Iran
Barts and The London School of Medicine and Dentistry,London,United Kingdom
Chaim Sheba Medical Center Israel,Tel Hashomer tel Aviv,Israel
Sichuan University,Chengdu,China
"Institute of Dermatology and Hospital for Skin Diseases, Chinese Academy of Medical Sciences &amp; Peking Union Medical College",Nanjing,China
Semmelweis Egyetem,Budapest,Hungary
Hainan Medical University,Haikou,China
Tokyo Women's Medical University,Tokyo,Japan
Shandong University of Traditional Chinese Medicine,Jinan,China
Nantong University,Nantong,China
Leids Universitair Medisch Centrum,Leiden,Netherlands
Hopital Edouard Herriot,Lyon,France
Melbourne Medical School,Melbourne,Australia
The First Affiliated Hospital of Chongqing Medical University,Chongqing,China
Lovisenberg Diakonale Sykehus,Oslo,Norway
Dalian Medical University,Dalian,China
School of Public Health (IUMS),Tehran,Iran
Mutah University,Karak,Jordan
University of Zambia,Lusaka,Zambia
China Medical University Hospital,Taichung,Taiwan
Tokyo Metropolitan Komagome Hospital,Tokyo,Japan
"Zhongshan School of Medicine, SYSU",Guangzhou,China
University of Victoria,Victoria,Canada
New Juaben North Municipal Health Directorate,Koforidua,Ghana
Faculty of Veterinary Medicine,Asyut,Egypt
Sun Yat-Sen University,Guangzhou,China
Chongqing Medical University,Chongqing,China
"Institute of Laboratory Animal Sciences, Chinese Academy of Medical Sciences &amp; Peking Union Medical College",Beijing,China
Tongji Medical College of Huazhong University of Science and Technology,Wuhan,China
Seoul National University School of Dentistry,Seoul,South Korea
Qingdao Hospital of Traditional Chinese Medicine,Qingdao,China
Larestan University of Medical Sciences,Larestan,Iran
Shanghai Chest Hospital,Shanghai,China
Shahid Sadoughi University of Medical Sciences,Yazd,Iran
University Medical Center Utrecht,Utrecht,Netherlands
Command Hospital (Southern Command) India,Pune,India
Heilongjiang University of Chinese Medicine,Harbin,China
University of Karachi,Karachi,Pakistan
Hopital Cantonal de Fribourg,Villars-sur-Glane,Switzerland
Philipps-Universität Marburg,Marburg,Germany
Institutionen för Translationell Medicin,Malmo,Sweden
Fudan University Shanghai Cancer Center,Shanghai,China
Vajira Hospital,Bangkok,Thailand
The University of Queensland,Brisbane,Australia
Peking University Third Hospital,Beijing,China
King's College London,London,United Kingdom
Al Razi Hospital,Kuwait City,Kuwait
Anhui University of Chinese Medicine,Hefei,China
Vanderbilt University School of Medicine,Nashville,United States
Virtual University of Pakistan,Lahore,Pakistan
The Second Affiliated Hospital of SZU,Shenzhen,China
Ramathibodi Hospital,Bangkok,Thailand
Qazvin University of Medical Sciences,Qazvin,Iran
University of Ghana,Accra,Ghana
Helsingin Yliopisto,Helsinki,Finland
Peking University First Hospital,Beijing,China
Yale School of Medicine,New Haven,United States
Anhui Medical University,Hefei,China
Universiti Kebangsaan Malaysia,Bangi,Malaysia
University of Ghana,Accra,Ghana
Faculty of Medicine,Tanta,Egypt
Högskolan i Borås,Boras,Sweden
University of Gondar,Gondar,Ethiopia
Makerere University College of Health Sciences,Kampala,Uganda
Ruijin Hospital,Shanghai,China
"Zhongshan School of Medicine, SYSU",Guangzhou,China
NYU Grossman School of Medicine,New York,United States
University of Warwick,Coventry,United Kingdom
Universität Bremen,Bremen,Germany
Ajman University,Ajman,United Arab Emirates
ANU Medical School,Canberra,Australia
School of Public Health,Tehran,Iran
"Faculty of Medicine, Khon Kaen University",Khon Kaen,Thailand
Qingdao University,Qingdao,China
Sultan Qaboos University College of Medicine and Health Sciences,Muscat,Oman
SINTEF Digital,Trondheim,Norway
Shanghai Pudong New Area Gongli Hospital,Shanghai,China
Dalian Medical University,Dalian,China
Shandong University,Jinan,China
Guangzhou Medical University,Guangzhou,China
General Hospital of People's Liberation Army,Beijing,China
University of Electronic Science and Technology of China,Chengdu,China
Dilla University,Addis Ababa,Ethiopia
Jiangsu Province Hospital of TCM,Nanjing,China
Universitätsklinikum Frankfurt,Frankfurt am Main,Germany
Charles University,Prague,Czech Republic
Western Health,,Australia
Tianjin Medical University,Tianjin,China
Jinka University,Jinka,Ethiopia
School of Medicine (IUMS),Tehran,Iran
Southern Medical University,Guangzhou,China
Department of Neurosurgery,Pawtucket,United States
Universität zu Lübeck,Lubeck,Germany
Huaihua University,Huaihua,China
Nanchang University,Nanchang,China
Holon Institute of Technology,Holon,Israel
Zhengzhou University,Zhengzhou,China
Wayne State University School of Medicine,Detroit,United States
School of Nursing Midwifery,Tehran,Iran
Haukeland Universitetssjukehus,Bergen,Norway
Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
Hangzhou Medical College,Hangzhou,China
"Faculty of Medicine, Srinakharinwirot University",Bangkok,Thailand
General Hospital of People's Liberation Army,Beijing,China
Universidad del Rosario,Bogota,Colombia
Faculty of Pharmacy - Ain Shams University,Cairo,Egypt
"Federal University of Technology, Owerri",Owerri,Nigeria
Jiaxing University,Jiaxing,China
UniversitatsSpital Zurich,Zurich,Switzerland
Fudan University,Shanghai,China
Tianjin Medical University Cancer Institute &amp; Hospital,Tianjin,China
Universidad César Vallejo,Trujillo,Peru
Huzhou University,Huzhou,China
Medical School of Nanjing University,Nanjing,China
University of Limpopo,Sovenga,South Africa
Diagnostic Radiology Specialist at Ministry of Health and Population,Mansoura,Egypt
K. N. Toosi University of Technology,Tehran,Iran
Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
University of Bamenda,Bamenda,Cameroon
The University of Dodoma,Dodoma,Tanzania
Faculté de Médecine de Tunis,Tunis,Tunisia
Shaheed Benazir Bhutto University,Khyber Pakhtunkhwa,Pakistan
National Hospital of Sri Lanka,Colombo,Sri Lanka
Erasmus MC,Rotterdam,Netherlands
Edinburgh Medical School,Edinburgh,United Kingdom
Jiangxi University of Traditional Chinese Medicine,Nanchang,China
School of Nursing &amp; Midwifery,Urmia,Iran
University of Zambia,Lusaka,Zambia
The First Affiliated Hospital of Guangxi Medical University,Nanning,China
Duke University,Durham,United States
Army Medical University,Chongqing,China
University Hospital Coventry,Coventry,United Kingdom
Klinikum Stuttgart,Stuttgart,Germany
The Royal (Dick) School of Veterinary Studies,Roslin,United Kingdom
UNICEF,New York,United States
The First Hospital of Xian Jiaotong University,Xi'an,China
University of Montreal,Montreal,Canada
Facoltà di Farmacia e Medicina,Rome,Italy
Shinshu University Faculty of Medicine,Matsumoto,Japan
Capital Normal University,Beijing,China
"Nursing and Midwifery Care Research Center, Isfahan UMS",Isfahan,Iran
Massachusetts General Hospital,Boston,United States
Universitätsklinikum Carl Gustav Carus Dresden,Dresden,Germany
Shahid Sadoughi University of Medical Sciences,Yazd,Iran
Dalian Medical University,Dalian,China
University of Minnesota Medical School,Minneapolis,United States
Meizhou People's Hospital,Meizhou,China
The First People's Hospital of Kunshan,Kunshan,China
Capital Normal University,Beijing,China
University of Galway,Galway,Ireland
Hebei Medical University,Shijiazhuang,China
Immunology Research Center,Tabriz,Iran
United Health Group,Sao Paulo,Brazil
TIGEM Telethon Institute of Genetics and Medicine,Naples,Italy
Torbat Heydariyeh University of Medical Sciences,Torbat-e Heydarieh,Iran
Università degli Studi di Perugia,Perugia,Italy
Somali National University,Mogadishu,Somalia
Medizinische Universität Wien,Vienna,Austria
"University of California, Davis",Davis,United States
Shanghai Jiao Tong University School of Medicine,Shanghai,China
Fraunhofer-Institut für Kognitive Systeme IKS,Munich,Germany
Guangxi Agricultural Vocational and Technical University,Nanning,China
"Imam Reza Hospital, Kermanshah University of Medical Sciences",Kermanshah,Iran
School of Medicine,Xiamen,China
College of Applied Medical Sciences,Riyadh,Saudi Arabia
Guizhou University,Guiyang,China
"Faculty of Medicine, University of Novi Sad",Novi Sad,Serbia
Università degli studi Magna Graecia di Catanzaro,Catanzaro,Italy
China Pharmaceutical University,Nanjing,China
Faculty of Dentistry,Tanta,Egypt
Maccabi Healthcare Services,Tel Aviv-Yafo,Israel
Tishk International University,Erbil,Iraq
Hanyang University,Seoul,South Korea
Zhengzhou University,Zhengzhou,China
Université Sultan Moulay Slimane,Beni Mellal,Morocco
"National Cancer Center, Gyeonggi",Goyang,South Korea
